altura,6tado,idade,peso,sexo,renda,tempo_carteira_assinada,estado_civil,score
1.52,10,41,63,0,5418,2,1,504
1.83,18,55,50,0,1224,30,2,356
1.63,10,43,76,0,1372,20,0,289
1.54,0,38,65,0,1173,53,3,275
1.74,19,70,62,0,1329,3,0,142
1.82,17,22,86,1,3087,26,1,292
1.76,21,80,50,1,1106,23,2,694
1.74,26,42,81,0,6704,13,1,836
1.69,20,51,96,1,1658,33,3,358
1.85,17,39,75,0,2917,27,0,852
1.65,9,39,52,0,1331,25,1,676
1.8,13,36,80,0,1695,51,1,777
1.58,0,43,63,0,5162,29,3,546
1.73,10,52,68,0,1331,40,1,315
1.59,16,72,74,0,1164,42,3,308
1.73,3,77,75,1,1683,26,0,506
1.77,17,77,54,1,1698,54,3,419
2,9,44,51,1,988,4,2,462
1.82,24,51,59,0,1925,10,2,137
1.93,23,61,70,1,2451,17,0,438
1.9,2,61,85,1,1257,38,0,330
1.84,26,33,53,0,1430,56,2,148
1.64,12,41,77,0,1313,44,0,723
1.91,10,47,57,1,1916,53,1,702
1.97,26,70,93,1,1720,40,1,645
1.82,8,67,83,0,2551,54,0,530
1.8,8,52,83,1,1165,10,0,283
1.74,10,68,98,1,1243,44,0,559
1.79,3,42,81,1,1344,16,0,684
1.71,15,33,104,1,1281,22,3,721
1.74,12,76,81,0,1635,9,1,568
1.7,19,52,67,0,1010,22,3,745
1.53,13,55,65,0,1022,58,0,517
1.77,4,48,79,1,2598,1,2,680
1.67,0,66,66,1,1311,3,1,423
1.63,6,25,90,0,1622,57,0,129
1.59,5,65,82,0,1709,11,2,575
1.77,1,64,64,0,1340,41,0,595
1.98,17,80,108,1,1263,10,2,198
1.9,11,71,59,1,1098,48,0,291
1.9,18,46,93,1,1816,37,2,350
1.74,15,67,95,1,3956,55,3,679
1.98,25,25,71,1,1998,21,0,644
1.89,12,80,67,1,1344,46,0,864
1.9,3,71,91,1,1725,23,0,591
1.76,6,62,64,0,1762,43,3,293
1.79,16,24,46,0,2946,34,1,698
1.99,25,19,89,1,1351,11,1,370
1.88,13,80,108,1,1247,13,2,325
1.62,19,36,105,1,1321,46,1,866
1.58,8,26,81,0,1561,13,0,634
1.52,26,30,65,0,2003,4,2,376
1.73,2,75,82,0,1286,23,0,412
1.72,24,30,110,1,2131,11,0,460
1.7,4,43,50,1,1655,21,3,216
1.63,13,56,61,0,1291,9,2,25
1.66,0,37,87,1,1401,39,1,977
1.56,11,22,55,0,1327,16,0,853
1.98,4,66,70,1,1245,33,3,888
1.85,14,67,50,0,1754,32,2,725
1.91,22,73,105,1,4104,25,1,476
1.64,19,34,60,0,1555,55,0,180
1.8,19,61,75,0,1303,12,1,107
1.89,17,56,94,1,1884,36,0,309
1.79,20,33,48,0,1847,30,3,670
1.74,20,21,63,1,1292,48,0,759
1.74,26,73,76,0,1133,22,0,369
1.69,3,24,95,1,979,38,0,827
1.57,12,49,65,0,3274,42,3,423
1.75,15,57,58,1,992,39,3,958
1.96,5,58,66,1,1168,38,2,909
1.64,1,25,73,1,1258,9,2,506
1.78,26,54,68,1,1137,40,0,78
1.71,15,66,84,1,1638,58,1,353
1.66,18,62,80,0,967,3,0,632
1.66,13,55,58,0,1064,18,1,567
1.71,25,29,54,1,1593,45,0,634
1.69,11,57,59,1,1018,58,3,403
1.63,7,60,52,0,1370,52,2,624
1.62,11,21,75,0,2935,30,2,536
1.74,16,75,68,0,1802,55,1,411
1.9,23,65,95,1,4087,42,2,188
1.93,10,69,53,1,1432,39,1,736
1.75,14,44,100,1,1488,32,0,415
1.66,26,66,64,0,1693,51,0,552
1.57,8,27,64,0,2450,32,2,557
1.9,8,63,88,1,3052,35,0,427
1.75,4,36,76,0,3613,39,2,288
1.64,11,32,103,1,5193,46,2,706
2,7,34,53,1,1505,36,2,559
1.67,21,29,108,1,5375,25,3,461
1.65,8,33,45,0,2690,7,0,168
2,18,31,72,1,1283,14,3,536
1.97,6,26,96,1,2197,1,1,514
1.84,10,70,87,0,1685,1,0,82
1.68,26,49,79,0,1968,36,2,664
1.71,26,39,82,1,1584,4,0,284
1.63,8,36,78,0,1546,32,0,98
1.61,3,64,103,1,1251,55,1,588
1.74,1,51,64,1,1615,41,1,421
1.69,24,23,87,1,1372,39,1,349
1.76,0,63,69,0,1264,25,0,309
1.97,5,27,51,1,2124,30,3,480
1.66,11,46,64,1,2039,47,3,901
1.51,5,52,72,0,1813,11,1,394
1.76,12,46,64,0,3124,34,1,910
1.65,21,27,75,1,1584,28,3,23
1.77,6,63,53,1,1883,13,1,517
1.61,20,29,79,0,2737,26,1,578
1.65,15,79,47,0,2231,22,3,383
1.84,23,63,66,0,1625,54,1,570
1.63,5,19,83,0,1613,43,1,238
1.61,20,56,90,0,1196,45,2,968
1.6,10,60,63,0,1068,54,1,378
1.81,10,59,76,0,1230,14,0,810
1.76,7,33,73,0,6692,31,3,971
1.54,5,39,56,0,1421,27,1,316
1.63,10,18,51,1,1878,48,3,951
1.66,2,18,109,1,1225,49,1,265
1.92,26,24,86,1,3216,10,2,321
1.54,6,68,61,0,2007,59,1,392
1.64,12,43,72,1,1146,47,3,375
1.65,15,60,68,0,1316,2,0,803
1.77,1,49,59,1,3730,24,3,564
1.71,20,57,99,1,1125,14,2,710
1.5,21,73,77,0,1895,9,0,470
1.64,12,34,86,0,1986,38,3,681
1.75,10,68,53,1,1425,42,1,299
1.84,10,60,56,0,1308,58,2,567
1.84,7,50,77,1,1190,14,2,404
1.68,10,67,51,0,1543,28,0,419
1.75,23,32,61,1,972,40,2,262
1.78,23,50,64,1,1774,41,2,505
1.68,6,79,62,0,1112,47,0,397
1.84,6,75,51,0,1194,3,0,358
1.82,26,69,49,0,2991,39,0,360
1.71,10,48,97,1,1631,54,0,391
1.72,21,59,60,1,4102,48,0,4
1.82,1,55,64,1,1041,46,1,774
1.55,12,25,68,0,1397,56,2,110
1.68,26,54,64,0,1152,59,1,498
1.69,16,20,105,1,1091,7,1,363
1.5,21,41,83,0,5674,22,2,478
1.62,17,52,81,0,1522,39,1,475
1.99,2,52,109,1,1025,1,2,481
1.58,5,68,73,0,1361,18,0,858
1.64,26,27,68,1,2402,32,0,426
1.67,1,38,84,0,1236,6,0,505
1.57,3,52,59,0,2020,38,1,438
1.61,19,66,55,0,4750,30,1,185
1.84,17,69,83,0,1775,29,3,767
1.63,10,70,54,1,1250,38,3,589
1.59,5,52,51,0,2160,3,2,809
1.8,3,40,77,0,1343,13,0,110
1.99,16,72,104,1,2066,53,3,586
1.91,4,29,80,1,896,11,3,479
1.85,21,21,79,0,1053,1,0,803
1.7,14,34,72,1,1337,14,1,746
1.85,3,80,98,1,3182,12,1,602
1.89,6,69,66,1,1295,25,1,629
1.72,6,60,77,1,1157,13,2,72
1.8,25,77,87,0,1262,39,2,996
1.66,26,78,63,0,2082,40,1,495
1.65,15,38,78,0,1418,58,2,231
1.7,14,76,55,1,1313,23,1,208
1.83,9,34,88,1,2694,13,2,473
1.69,10,60,80,0,1408,44,3,467
1.59,10,44,79,0,1632,39,1,212
1.7,13,37,90,0,1569,28,0,237
1.85,24,39,97,1,1127,1,1,916
1.95,15,63,93,1,1885,12,1,451
1.85,25,40,71,0,1407,56,0,398
1.99,5,40,62,1,1437,13,3,553
1.54,3,37,80,0,4557,40,0,561
1.78,3,69,48,0,1902,18,0,558
1.82,18,68,60,1,1025,21,3,459
1.6,24,42,71,1,2099,42,3,760
1.66,16,52,51,0,3508,53,1,200
1.82,3,22,91,1,4317,4,2,544
1.6,18,18,88,0,1214,25,0,52
1.84,15,28,73,0,1538,53,1,872
1.79,8,76,75,1,1566,3,0,378
1.51,21,28,60,0,2207,41,0,665
1.52,11,28,85,0,1344,2,0,414
1.82,12,61,89,0,3571,36,2,255
1.86,19,72,107,1,1708,9,0,229
1.96,20,24,76,1,1503,14,1,547
1.8,17,34,91,1,1281,9,1,363
1.78,13,45,84,0,1355,43,1,681
1.51,1,37,70,0,2106,38,3,790
1.55,8,40,78,0,6242,43,0,689
1.77,26,20,82,1,1582,47,0,677
1.61,16,52,65,1,1522,28,0,372
1.86,21,68,71,1,1404,32,3,44
1.68,17,40,79,0,1380,38,0,622
1.66,21,80,47,0,1076,59,2,454
1.67,22,63,55,1,1389,9,1,308
1.87,5,72,84,1,1315,17,1,416
1.65,15,74,67,0,2531,26,0,736
1.61,3,71,109,1,3272,25,2,258
1.64,9,71,48,0,1413,59,2,990
1.73,19,42,57,0,1369,17,3,509
1.71,25,40,46,0,1438,14,1,669
1.73,8,80,71,0,1605,23,3,914
1.5,24,19,75,0,1115,42,1,629
1.64,15,76,81,1,1674,21,0,222
1.87,19,33,104,1,1138,59,1,499
1.64,26,19,57,0,1027,22,2,428
1.82,11,62,50,0,1624,37,0,589
1.65,8,45,48,0,1048,28,0,377
1.85,12,32,81,0,1080,54,1,741
1.61,12,75,105,1,1888,23,2,522
1.63,22,37,75,1,3277,26,3,734
1.52,20,29,79,0,1356,51,1,119
1.75,18,18,59,1,2047,32,2,734
1.96,24,28,54,1,1400,9,2,108
1.58,6,46,48,0,1503,45,3,974
1.75,26,32,94,1,1846,32,0,695
1.6,9,61,60,0,2085,47,3,571
1.96,21,31,52,1,1224,7,0,333
1.51,19,67,51,0,1581,55,3,627
1.78,2,73,67,0,1526,39,2,116
1.8,15,47,74,0,1580,41,0,659
1.63,17,19,101,1,1305,46,1,428
1.64,21,21,53,1,1375,51,1,905
1.7,16,41,77,0,1277,32,1,394
1.67,15,65,80,1,1102,17,0,411
1.71,21,20,89,1,4523,24,2,452
1.81,17,30,81,1,1454,33,0,618
1.65,22,55,69,0,2182,45,1,565
1.57,0,64,55,0,968,27,1,532
1.57,4,23,60,0,1493,31,1,327
1.75,10,18,53,1,1175,43,2,115
1.76,3,56,65,0,1802,35,2,239
1.7,19,78,56,1,1294,52,0,541
1.65,6,79,56,1,1747,38,0,559
1.78,7,70,80,1,1311,55,2,410
1.91,0,70,104,1,1105,19,0,485
1.9,2,73,74,1,3926,51,1,310
1.85,3,47,104,1,1659,52,1,697
1.76,26,33,100,1,1193,15,0,173
1.77,19,68,47,0,1570,11,3,186
1.71,5,41,85,1,1363,48,1,290
1.6,5,65,49,0,1390,44,0,715
1.68,21,72,61,0,2030,46,1,636
1.65,10,46,77,1,1092,6,3,423
1.93,10,35,62,1,965,13,2,256
1.66,4,65,74,0,2222,37,0,223
1.83,8,67,55,0,3680,8,2,963
1.79,11,45,49,0,3336,55,2,401
1.85,13,34,86,1,1646,26,2,924
1.79,15,50,68,0,1856,42,2,107
1.86,23,73,54,1,2500,51,0,140
1.91,20,79,88,1,1815,51,0,198
1.8,13,59,90,1,2471,4,2,688
1.71,18,19,84,0,1571,10,1,428
1.8,1,44,90,0,1973,45,2,871
1.72,10,31,70,0,1160,8,2,112
1.84,0,31,50,0,3228,34,1,498
1.69,9,49,88,1,1201,44,0,290
1.79,24,25,73,1,6411,44,1,307
1.6,0,49,69,0,1905,5,2,274
1.63,2,55,79,1,1897,49,0,295
1.83,20,43,51,0,3321,36,3,611
1.76,8,69,77,1,2287,51,2,73
1.78,4,43,83,0,1542,42,3,343
1.73,7,61,89,0,3179,58,3,671
1.65,11,33,66,0,1108,27,0,384
1.69,25,42,104,1,1719,19,2,23
1.73,24,25,81,0,2506,7,0,795
1.96,24,34,76,1,1440,56,2,417
1.92,17,70,94,1,1516,38,3,733
1.72,11,71,63,0,1184,15,1,981
1.95,26,19,75,1,992,17,2,268
1.78,24,28,60,0,1868,17,1,144
1.96,7,76,83,1,1084,36,0,381
1.6,20,40,96,1,1086,45,0,542
1.62,2,47,72,0,3495,48,1,305
1.75,19,57,83,1,1071,52,0,659
1.8,12,53,80,0,2024,6,1,626
1.81,16,68,78,1,1961,48,0,614
1.94,17,53,60,1,1390,34,3,212
1.79,19,19,83,0,1968,4,2,721
1.65,22,36,84,0,3393,6,0,658
1.5,2,33,69,0,1264,40,1,742
1.69,14,53,83,0,1939,43,3,338
1.88,13,20,76,1,1015,44,3,665
1.89,24,50,104,1,3850,15,1,517
1.83,23,46,89,0,1342,6,2,386
1.64,20,73,56,1,2001,21,0,326
1.6,23,57,84,1,1390,42,2,423
1.53,23,76,72,0,1830,19,3,20
1.69,9,60,89,1,1314,57,2,661
1.52,8,64,64,0,1675,53,2,392
1.62,18,26,84,1,1900,9,1,677
1.64,22,67,87,1,2679,34,0,325
1.7,18,67,67,1,1817,14,1,227
1.66,12,30,78,0,1381,47,2,226
1.77,25,25,102,1,1022,42,0,591
1.89,8,78,82,1,1380,2,0,693
1.83,3,74,73,1,1384,17,3,253
1.66,20,68,72,0,1591,53,0,372
1.66,12,20,59,0,2112,40,0,581
1.76,18,69,49,0,2260,39,1,563
1.79,22,76,80,1,1955,39,2,219
1.58,20,28,83,0,2875,6,3,370
1.61,1,69,72,0,1415,40,0,527
1.71,8,69,57,1,1336,32,2,779
1.65,21,79,53,1,1905,41,1,849
1.78,5,44,53,0,3571,56,2,559
1.89,11,50,74,1,1237,15,1,338
1.5,23,59,80,0,2032,3,0,584
2,5,70,61,1,1073,22,1,585
1.82,18,40,93,1,2526,45,0,314
2,17,69,108,1,1755,17,1,697
1.8,12,61,63,0,1863,48,0,494
1.62,6,39,69,1,1943,21,0,528
1.61,4,25,83,0,1636,11,0,692
1.69,5,35,72,0,1212,59,3,147
1.78,7,31,73,1,1435,5,3,658
1.83,8,39,80,1,2421,25,0,566
1.76,7,50,92,1,1770,37,0,479
1.85,18,49,49,0,1255,10,0,898
1.75,3,70,52,0,1640,44,0,145
1.63,19,24,55,1,4155,42,3,680
1.81,15,57,47,0,2860,4,0,572
1.86,25,43,76,1,1682,31,2,458
1.72,9,66,61,0,1988,3,1,791
1.55,17,31,86,0,1208,59,2,549
1.66,14,70,66,1,1413,9,2,524
1.74,22,23,54,0,1437,17,3,592
1.55,21,20,65,0,1379,38,3,233
1.68,1,75,50,0,3664,44,1,521
1.73,16,46,55,1,1107,4,2,664
1.56,1,59,66,0,1600,4,2,437
1.78,22,73,72,0,1747,6,1,301
1.52,8,56,76,0,1698,3,1,556
1.87,16,32,107,1,3697,26,0,533
1.8,24,76,81,0,4030,40,1,950
1.78,23,53,88,1,1342,44,3,402
1.69,2,19,73,0,1632,35,1,707
1.95,2,43,88,1,1010,18,3,973
1.81,18,56,48,0,2068,5,1,531
1.54,23,19,58,0,1417,57,1,184
1.68,22,24,54,0,1349,17,2,551
1.64,2,38,48,0,1255,56,3,560
1.57,11,50,52,0,5464,4,0,875
1.71,5,74,109,1,1855,26,2,539
1.75,22,59,75,0,1082,40,1,465
1.7,7,60,109,1,1446,35,1,980
1.69,5,61,72,1,1358,17,2,744
1.78,16,25,79,1,1288,59,2,773
1.52,23,55,60,0,1035,54,1,728
1.71,6,68,68,0,1625,23,1,906
1.63,6,45,72,1,1027,52,0,334
1.56,3,71,45,0,1965,15,2,420
1.76,4,37,80,1,1596,58,0,610
1.78,13,51,106,1,1447,19,0,630
1.75,2,55,66,1,6760,39,0,376
1.91,25,39,106,1,1366,21,2,512
1.79,14,26,49,0,2012,10,3,488
1.85,3,21,62,1,1436,46,0,433
1.85,15,39,99,1,992,42,3,602
1.63,15,54,84,0,1372,58,1,427
1.63,15,80,67,0,1237,28,1,434
1.78,5,46,78,1,1598,11,0,137
1.83,1,53,86,0,1776,50,0,148
1.53,24,75,82,0,994,22,2,302
1.84,23,19,64,1,1454,59,0,564
1.79,24,78,98,1,1584,17,1,537
1.64,13,33,69,0,1583,41,1,103
1.92,18,23,62,1,1405,35,1,625
1.76,17,27,46,0,1191,42,3,695
1.62,12,35,57,0,1156,30,2,539
1.75,3,64,91,1,1445,13,2,445
1.67,17,48,90,0,2112,23,1,617
1.87,6,31,65,1,1581,25,2,183
1.7,7,20,87,0,1504,40,0,643
1.77,12,54,90,0,2440,50,0,734
1.8,1,33,70,1,1281,13,1,589
1.88,19,32,92,1,1014,57,0,599
1.64,11,33,90,1,1023,55,2,614
1.55,1,72,81,0,1790,17,0,257
1.6,13,66,51,0,1925,2,0,659
1.76,21,45,56,0,1835,43,0,312
1.7,13,46,71,0,4173,26,1,309
1.88,11,40,72,1,1643,41,0,310
1.67,7,47,47,0,2046,36,3,224
1.75,14,35,78,1,1047,29,2,831
1.59,26,22,45,0,1208,58,3,716
1.51,12,27,46,0,1565,36,1,490
1.81,4,32,48,0,3089,34,3,682
1.54,12,39,89,0,1515,41,0,415
1.85,23,24,50,0,1078,49,1,958
1.72,24,19,67,0,3611,1,1,281
1.9,18,32,85,1,1641,21,1,658
1.64,2,71,70,0,1220,16,0,387
1.74,7,25,68,1,1307,29,2,701
1.56,8,50,60,0,2796,50,1,415
1.94,14,25,78,1,2246,16,0,392
1.97,20,41,62,1,1212,42,3,625
1.8,18,57,82,1,1916,22,0,660
1.82,7,60,103,1,1072,29,2,184
1.96,15,55,64,1,1523,36,1,530
1.72,21,27,62,0,2091,40,0,721
1.76,24,72,51,1,1140,56,3,142
1.74,8,69,68,0,1441,7,1,384
1.64,17,37,65,0,1533,34,0,171
1.97,13,76,65,1,1591,39,1,428
1.7,24,19,70,0,2738,43,2,878
1.81,0,79,51,0,2790,34,0,612
1.74,19,69,60,0,1697,9,1,399
1.66,16,74,45,0,1527,29,0,442
1.8,5,24,105,1,2866,31,1,133
1.66,20,51,66,0,2012,33,0,289
1.76,24,52,92,1,1320,25,0,161
1.57,7,77,65,0,1249,35,0,382
1.94,26,41,104,1,1496,30,1,898
1.91,20,78,64,1,1270,20,2,438
1.8,26,78,82,0,1130,54,0,718
1.61,6,37,45,0,1508,6,0,152
1.54,12,53,65,0,1922,57,1,408
1.85,20,56,51,1,1313,41,0,171
1.65,25,47,55,1,3181,45,0,233
1.91,23,33,86,1,1492,14,3,30
1.76,16,38,84,0,958,20,1,910
1.56,8,39,59,0,2235,27,1,416
1.53,0,53,86,0,2268,35,0,683
1.79,3,42,102,1,2058,40,0,651
1.68,2,23,72,1,1314,41,1,128
1.7,20,36,78,0,1465,18,3,157
1.7,21,38,89,0,1969,26,2,660
1.69,20,64,75,1,1109,28,0,450
1.62,11,22,70,0,1627,8,1,394
1.67,22,19,80,0,4031,8,0,350
1.9,9,41,61,1,1351,16,2,359
1.63,16,22,86,1,1439,22,3,574
1.69,25,32,106,1,1306,54,0,359
1.72,12,65,65,1,4037,31,2,273
1.59,10,65,87,0,1896,25,2,649
1.82,4,73,95,1,1023,52,3,312
1.63,25,64,94,1,1525,34,1,494
1.61,17,23,60,1,1335,6,0,473
1.58,7,74,73,0,1154,56,3,691
1.63,23,27,104,1,1003,28,1,749
1.78,6,69,80,1,1196,28,1,710
1.57,7,21,54,0,1258,57,0,790
1.61,17,26,72,1,1802,13,2,340
1.97,1,74,102,1,2113,57,0,725
1.91,25,76,53,1,1527,38,3,597
1.83,7,34,96,1,1614,21,1,612
1.99,3,54,87,1,2024,16,2,272
1.76,2,29,59,0,1492,2,2,628
1.63,8,33,70,0,1895,44,2,908
1.73,14,49,77,0,1868,29,2,318
1.84,2,61,79,1,1097,49,1,522
1.7,13,74,65,0,1805,20,1,665
1.52,12,74,62,0,1635,53,1,921
1.53,24,76,69,0,2977,40,0,725
1.5,12,26,57,0,1234,45,2,537
1.62,17,39,89,0,5776,44,2,468
1.74,24,23,70,1,1446,29,2,682
1.53,12,64,71,0,4643,21,2,289
1.82,1,73,78,0,1364,17,2,892
1.75,13,45,73,1,970,28,0,702
1.66,17,39,68,0,914,43,1,587
1.52,10,64,81,0,1297,42,1,648
1.6,19,37,50,1,1258,13,0,606
1.51,18,30,72,0,1741,21,1,727
1.87,15,43,71,1,1990,31,2,876
1.53,5,53,75,0,1225,13,2,587
1.89,23,56,82,1,1562,20,1,447
1.91,22,58,106,1,1428,22,1,386
1.76,18,39,101,1,2047,23,2,454
1.82,26,34,72,0,1866,37,1,324
1.69,23,56,50,0,1431,14,0,609
1.68,18,67,90,1,2895,21,2,973
1.75,14,70,99,1,1233,28,1,522
1.69,11,74,53,0,2043,10,3,686
1.78,9,73,49,0,1277,4,0,595
1.65,8,53,79,0,3119,3,0,555
1.58,7,68,53,0,1016,47,3,509
1.86,12,47,69,1,2432,24,1,346
1.65,6,80,60,1,1381,47,1,566
1.51,14,39,86,0,1729,58,1,376
1.93,0,27,98,1,1484,17,2,787
1.63,14,28,89,0,1942,33,0,300
1.75,9,26,94,1,1470,12,3,521
1.67,0,78,78,1,1342,17,0,474
1.79,20,57,52,1,1516,24,1,117
1.92,17,26,109,1,1383,40,0,560
1.73,26,59,84,0,1353,21,1,876
1.58,3,24,82,0,3775,50,3,196
1.62,17,18,85,0,1438,32,3,548
1.6,22,20,106,1,1255,13,0,103
1.67,9,46,56,1,4301,18,1,457
1.92,26,52,96,1,1836,14,0,578
1.86,11,59,83,1,1045,15,1,569
1.87,10,55,78,1,1625,49,3,737
1.65,22,66,55,0,2318,39,1,519
1.91,19,36,86,1,2829,10,2,19
1.79,24,47,85,0,2077,58,1,673
1.59,12,34,80,0,1795,24,1,523
1.97,22,67,70,1,2231,54,1,454
1.8,15,21,52,1,1204,56,3,339
1.67,10,64,100,1,2038,50,1,101
1.94,23,40,59,1,1177,54,0,167
1.56,6,18,65,0,1452,58,2,600
1.98,20,61,77,1,1863,40,2,19
1.73,9,19,89,1,3468,12,1,648
1.77,1,44,55,0,995,45,2,459
1.96,6,36,72,1,2846,20,1,392
1.63,5,65,68,1,1558,24,1,780
1.85,14,46,60,0,1415,52,1,144
1.7,3,40,89,0,1150,29,1,405
1.96,21,63,95,1,1427,41,1,377
1.76,8,23,89,0,1693,22,2,267
1.65,12,48,45,0,2089,17,0,320
1.92,23,71,65,1,1235,37,3,349
1.97,23,36,68,1,3664,10,0,315
1.6,7,73,67,0,1649,46,0,769
1.69,14,76,47,0,950,55,1,402
1.67,22,34,57,0,1514,17,3,602
1.58,6,49,76,0,1220,13,3,320
1.59,3,40,63,0,2020,17,3,651
1.81,7,68,67,0,1177,36,0,78
1.76,7,45,62,1,1432,38,0,352
1.83,23,36,67,1,1211,54,0,708
1.71,10,19,54,0,3996,52,3,248
1.5,14,53,89,0,2329,41,0,415
1.74,10,48,101,1,1434,11,0,352
1.62,26,61,85,1,5343,32,0,493
1.6,13,32,64,1,1511,15,2,444
1.74,20,79,86,0,976,15,1,942
1.93,18,73,90,1,1415,39,1,581
1.74,13,18,49,0,5818,51,1,616
1.82,10,70,57,1,1683,39,1,541
1.74,23,39,75,1,1277,38,2,441
1.79,20,34,97,1,1021,48,2,660
1.8,12,23,64,1,1805,8,3,625
1.66,16,73,49,0,1701,2,3,312
1.5,24,61,60,0,4520,29,2,262
1.79,18,24,52,0,1384,6,0,315
1.79,18,49,63,1,3860,57,2,554
1.81,24,29,59,0,3113,43,1,944
1.83,11,19,81,0,1317,32,0,593
1.68,6,42,83,1,1560,42,0,315
1.84,21,57,65,0,1410,13,1,475
1.59,24,70,80,0,2019,47,2,256
1.54,8,27,77,0,1203,40,0,638
1.83,26,19,55,0,1937,48,3,496
1.84,18,34,104,1,1855,45,0,269
1.73,10,74,48,0,2072,7,2,289
1.74,22,70,46,0,3847,48,3,589
1.82,18,55,46,0,3493,25,1,163
1.91,2,66,66,1,1146,28,2,314
1.52,24,37,67,0,1259,42,3,590
1.64,8,48,87,0,2648,55,2,478
1.83,4,76,96,1,2357,6,3,181
1.9,26,41,86,1,2727,4,0,4
1.57,24,56,87,0,4392,51,3,202
1.97,23,73,66,1,1161,1,1,111
1.63,25,35,47,0,1668,51,1,486
1.65,19,44,61,1,3027,40,2,605
1.92,25,79,87,1,1369,16,1,899
1.77,20,64,61,1,1093,51,0,747
1.62,15,40,67,0,1722,28,1,725
1.61,7,39,79,1,2687,2,2,188
1.63,17,51,62,1,1501,40,3,233
1.65,3,69,80,0,1595,28,0,732
1.82,10,37,64,0,2328,14,0,260
1.99,4,64,55,1,2759,13,2,534
1.58,20,56,66,0,2505,32,3,880
1.57,16,38,83,0,1681,52,0,710
1.66,14,21,77,0,1848,2,2,627
1.52,10,37,49,0,1688,17,1,387
1.6,19,60,45,0,3805,25,0,310
1.75,22,46,57,0,1345,45,2,563
1.53,25,41,61,0,5162,13,0,42
1.76,8,25,72,1,1378,33,2,323
1.59,1,58,55,0,1222,1,0,261
1.75,26,42,46,0,1582,29,0,12
1.67,20,35,69,0,1350,10,3,656
1.74,26,70,57,0,1396,3,0,406
1.55,15,36,55,0,1529,44,2,638
1.53,4,39,56,0,4472,28,3,118
1.94,17,18,73,1,987,8,3,772
1.78,5,77,69,1,4472,2,0,437
1.84,1,45,87,0,1542,18,2,870
1.72,3,80,84,0,1479,22,0,474
1.78,9,64,87,1,1360,25,2,838
1.7,7,68,66,0,2675,2,0,784
1.64,24,23,77,1,1853,54,2,574
1.56,8,52,50,0,1526,54,2,709
1.58,5,42,73,0,1092,25,3,311
1.74,18,64,55,1,2073,33,3,598
1.8,3,59,107,1,2116,22,0,463
1.71,9,46,80,0,1581,53,0,557
1.81,7,42,69,1,1030,9,1,424
1.64,1,28,95,1,1585,58,1,680
1.65,13,50,53,0,949,3,2,184
1.8,8,77,85,1,3735,2,2,427
1.9,16,31,63,1,2470,41,0,595
1.81,26,31,89,0,1484,27,0,424
1.74,21,73,69,0,1519,21,0,279
1.85,23,67,69,1,980,39,0,159
1.81,5,61,88,1,1354,8,3,499
1.65,8,34,56,0,1962,57,0,292
1.96,2,77,52,1,1451,8,3,576
1.72,8,78,52,0,1667,56,2,475
1.7,12,74,99,1,1359,33,0,166
2,10,51,75,1,951,46,2,397
1.73,11,50,55,0,1521,56,1,876
1.63,5,36,57,0,1143,5,0,470
1.64,21,68,104,1,3115,39,1,256
1.55,18,78,83,0,3113,16,2,550
1.72,2,37,58,0,3257,3,2,928
1.82,21,47,71,0,1406,30,2,326
1.78,7,79,69,0,1438,45,2,831
1.76,14,76,96,1,1234,18,0,427
1.84,18,47,58,0,1912,3,2,690
1.96,16,37,89,1,1906,12,0,79
1.64,5,54,71,0,823,20,2,560
1.84,19,70,69,1,1397,5,2,338
1.71,1,29,67,0,1465,15,2,304
1.7,25,48,67,1,1396,2,2,501
1.68,9,79,59,1,2594,17,1,278
1.84,17,78,55,0,1904,37,2,261
1.88,9,47,103,1,4522,46,1,540
1.54,6,23,66,0,2109,2,0,345
1.99,16,58,95,1,3247,44,0,662
1.75,0,74,85,0,1186,22,1,461
1.8,18,60,67,0,1925,49,0,337
2,14,22,99,1,3767,15,0,720
1.55,2,44,58,0,1270,55,1,351
1.56,20,65,62,0,1715,24,0,523
1.63,7,21,104,1,1794,16,1,652
1.77,2,77,65,0,1510,51,0,490
1.73,11,42,70,1,2186,29,2,602
1.86,11,39,99,1,1413,54,2,355
1.75,9,32,49,0,2866,57,1,488
1.51,14,58,80,0,2007,13,0,601
1.81,23,68,70,0,1646,11,0,200
1.8,7,32,73,0,1582,36,3,590
1.77,1,29,77,0,923,23,2,853
1.5,24,75,78,0,1503,40,1,221
1.82,22,32,90,0,2926,52,0,59
1.88,2,66,89,1,1527,38,2,954
1.74,21,22,45,0,1434,10,2,344
1.96,1,64,102,1,1827,19,1,118
1.99,22,39,75,1,1681,43,0,422
1.69,12,22,88,1,1322,36,2,375
1.74,24,38,90,0,3239,37,1,516
1.75,23,65,50,1,1692,59,2,588
1.78,12,67,87,1,1533,2,0,266
1.8,25,74,63,0,4664,33,1,570
1.71,7,34,62,1,1422,36,2,809
1.9,18,32,86,1,1159,12,0,61
1.87,20,68,106,1,988,54,0,601
1.74,13,28,53,0,2132,41,0,600
1.96,25,40,82,1,1775,44,1,340
1.53,12,51,53,0,1171,43,2,423
1.95,21,51,102,1,1505,15,1,689
1.8,22,19,85,1,2118,29,1,303
1.71,17,22,59,1,2609,35,0,397
1.76,24,60,52,0,1613,51,2,692
